train_loss	time	acc	eval_loss
2.3333273960065237	43.381364822387695	0.4531	1.562754148510611
1.6886588534976863	45.142308950424194	0.7188	0.8847488274999485
1.340206026527952	45.33142638206482	0.7504	0.7940964020171742
1.123123235434671	45.80958271026611	0.7684	0.7564992623723996
0.974935200357739	45.8135244846344	0.7689	0.7668718708928224
0.8641455148028422	45.877368211746216	0.7825	0.7398840265858705
0.7777992735396242	46.61386275291443	0.7724	0.805544844858206
0.7073700550967191	46.75735831260681	0.7786	0.859818220660565
0.6498766840028193	46.9925901889801	0.7819	0.838290487125421
0.6043911423958555	47.14177656173706	0.7777	0.8826836675974974
0.5633314667811876	47.32115578651428	0.7699	0.9750690354852919
0.5294293419847006	47.71417284011841	0.7879	0.8509429387131314
0.4980318044414771	47.46504998207092	0.7766	0.9951246199524326
0.47300977116049847	47.504666328430176	0.7515	1.0647146940990617
0.4519219266022811	47.380953311920166	0.7899	0.9285912260318258
0.4299107054528438	47.50248718261719	0.7685	1.1504604248863877
0.41094699925143197	48.092716217041016	0.8008	0.9502677745215452
0.39239888204557694	47.53448152542114	0.7837	1.109953431756633
0.3776875585202825	47.919201374053955	0.7996	0.9209640406451787
0.36211077737639646	48.20289444923401	0.7973	1.0523225172396133
0.34824701532527286	47.954283714294434	0.7944	1.0328755428789147
0.3347199469811395	48.15190672874451	0.7952	1.103152217782417
0.32164264471615417	48.34456658363342	0.7778	1.4075998105820577
0.31149850223790415	48.07316446304321	0.7798	1.097483038048076
0.3019897498661517	48.11297607421875	0.7889	1.0612573566176235
0.2920884113673248	48.16046500205994	0.7875	1.2591359905281645
0.28304781502880827	48.16928839683533	0.7955	1.1827917640945713
0.2752550704100437	47.80799746513367	0.7703	1.1690012692076386
0.26825296289025763	48.329411029815674	0.7882	1.1108314302886368
0.2619254907041141	48.22082877159119	0.7791	1.1114299016393674
0.25665846668476294	47.98287582397461	0.7854	1.1205626665406925
0.2506976429083208	48.243019580841064	0.7797	1.1829084668094945
